ID_Orders,Credit Cards
1,5271383649291581
2,5602258846717218
3,3534086082715861
4,3565669125989064
5,3552996501839950
6,6767956923478716
7,5602236947336096
8,3578664405962894
9,6397479389906987
10,5100170930392336
11,3535582104289181
12,3538270847546201
13,3536141703370543
14,3541460808687210
15,3542028318809043
16,3557592207049872
17,30573848623518
18,5048377938438491
19,3536039699758434
20,6380552464462180
21,5010124448610373
22,3548169991384203
23,4041597776467
24,3561944382765810
25,374622670784627
26,3534558946792948
27,560225335020402329
28,5108753911840670
29,5007667994365383
30,5235227451847565
31,5020162049489707707
32,3586314390928548
33,3559364892536094
34,4913433138215513
35,490309664108381827
36,36821014122748
37,3576029345447442
38,3548433525932329
39,3577782567681408
40,3579964475655496
41,6759228512134990709
42,30384505266454
43,493662258658625959
44,6334558076852921
45,3540359124953556
46,3569321430639333
47,560223689393107663
48,3576680729570074
49,67620895226408609
50,4026403913137814
51,5602220465293980139
52,201492707446668
53,3557419914919843
54,3529638488232524
55,3574071162535554
56,4917557383732461
57,3563494650084260
58,3551817137413856
59,4936526191483143
60,372301847678689
61,5602252213515823708
62,56022535161742532
63,3576522302397691
64,5010122260859714
65,3589473121047981
66,67618910926204424
67,3569756577622412
68,5020145252428873
69,3584879208456090
70,4508857494136205
71,3538569378425978
72,201973378564640
73,3553390513520734
74,30411697375403
75,3553452556699757
76,4041373535996
77,201576654791900
78,3560154776626351
79,3550906087690596
80,675976986051555141
81,3589938577299245
82,560223905848399410
83,3561277832050933
84,3585952865351067
85,3563585250968511
86,3576841147473032
87,374283910867829
88,3549441189240326
89,5449707655822532
90,3566694891146839
91,3574973792136671
92,3579508784627173
93,3549063457279164
94,374288930619068
95,3538887016093317
96,6396918824225009
97,201493428594125
98,3544096080768539
99,3583268351965241
100,56022152395575546
101,5010126059823153
102,4917302035852288
103,337941467427661
104,670605793666983928
105,3556386798293002
106,3561920102327370
107,30055867657940
108,5100141389060849
109,4508396667105614
110,30583153884472
111,676104179251942508
112,5140247535093220
113,3569035882636189
114,3561199249727178
115,5610549911833934
116,3555000576128188
117,3555679882923919
118,3581831331194828
119,3547208826204433
120,3586420954192353
121,6759468120934406667
122,5602247055906851
123,30492922765527
124,3548688635322618
125,3558959003039838
126,3576906336358631
127,372301893940520
128,5180341309988417
129,201590525169469
130,201943093608881
131,374288940021404
132,201545594896962
133,30053064664892
134,6386352499157069
135,6331104997880403
136,633316929643419846
137,4026364223037997
138,5100142687028561
139,6380221106620825
140,3547456560082875
141,50203780228604234
142,5602249742826088
143,3582891421391345
144,5610355003094454
145,374288488666131
146,4913054875287448
147,3568597964145075
148,3567568369802280
149,3579334023983925
150,374622214345943
151,3551112868486432
152,3542946628528666
153,3554312532812297
154,3561786528729352
155,6706691494423124317
156,6759078830126650227
157,3536437802987256
158,372301589688722
159,3547401617929686
160,5602222668716633
161,5108750033696006
162,374622336030472
163,201999891671851
164,4936421427407233
165,3559760662255536
166,5641828071179185761
167,564182453896113665
168,3537709665029189
169,3540383561053423
170,6762064589907448215
171,6767961912807578
172,3574199812605590
173,3574914037834738
174,378400037011091
175,3574433109590565
176,343767347602450
177,3551102734641765
178,3585103596756220
179,4183016479937861
180,6304484195262985008
181,6333489005938333471
182,6762220436808069396
183,6771427957579047
184,5602249544551843
185,3569371526718525
186,5602217453479389
187,3553420449556732
188,3545794039811918
189,560223140220825838
190,5461085099313878
191,3558248684459915
192,3584411528056200
193,3536145633275276
194,4017959216219774
195,3542371450951862
196,3544041634001243
197,6374434647187745
198,3549318898101686
199,3584141774901516
200,370113297510771
201,30181940944699
202,3540127811947573
203,5048374726800156
204,3587098153793368
205,6761313637996938
206,374283236590881
207,3588323699145553
208,3557922868001674
209,5602223223064498824
210,3546148196762456
211,4903471900116123
212,560222144788692284
213,3571720516498678
214,6371984316821225
215,5485636022312312
216,201755467764995
217,5486994236454985
218,6761682144636124
219,3541770492848146
220,5595530021749284
221,5602243912982656
222,6304186163194883726
223,3558416963205032
224,5602252181622182
225,3560391245351290
226,50382469028983666
227,3573796600224905
228,5018891732900447829
229,372301767457056
230,3550687538614357
231,3537991005254590
232,3548069661816205
233,3572417729910842
234,3552939421654109
235,6378886513507635
236,4905949137161285838
237,201841433159195
238,3539531498832375
239,3561732359089748
240,4405240182447222
241,5038778312024801
242,6767486803759647
243,5475530056473219
244,3581283526225688
245,676790085761545781
246,4913224662211303
247,3531507620896171
248,4415021950023
249,201880823339744
250,3559272453684361
251,3532126359428764
252,374283040994576
253,3567920556627485
254,3575198507614510
255,3541053606843489
256,4917534125187478
257,378197414102515
258,3563119967808610
259,3533315499660985
260,3587450837242926
261,63041495584285770
262,67638548034979879
263,3577897488371911
264,4508418085164104
265,3564025736975615
266,201771427453751
267,3552858266094215
268,5100178430713489
269,374622106222739
270,3581729004032194
271,3539668957249020
272,3584983630458417
273,3557736487542227
274,3561760637122213
275,3584360350920340
276,201531664421543
277,201973538623815
278,3529406026209226
279,201944040182335
280,3568494733591484
281,4474699407498235
282,201806809647065
283,374288516207346
284,4911124018245678
285,201862709509905
286,3579412756294841
287,3585085284625488
288,560224628614677921
289,4509327383103756
290,4913722098607507
291,5602256052556726
292,3549008173127635
293,3550547563545795
294,3542216019016626
295,490309638434781421
296,677147930449386132
297,3552159747170058
298,501814850093686633
299,4903783687682570757
300,3568631779426824
301,490340857990325354
302,3566345328220081
303,3581245050273780
304,4948400971012
305,3583461439618128
306,3583134120063413
307,589324806991005670
308,3588955106075772
309,4041592715489984
310,3547424405069697
311,3554504369486761
312,4041376821039
313,3552996967018883
314,201661778279667
315,5488016152031650
316,374288040746314
317,6375788740418730
318,67715746074781645
319,5419009145432931
320,6759489337690783
321,6304942080564484312
322,3540006844898286
323,3528163360563509
324,3546136783667584
325,5048371735789743
326,3581870486579268
327,3567097655341530
328,3556970967846805
329,3566036768291191
330,30068523085836
331,3556394666937551
332,5610529256722686
333,5602249294650993
334,5497959521747218
335,5602226650753587
336,3559120582116989
337,3573389177874755
338,5378016896880845
339,4405020363391674
340,5365491313441437
341,3543963503110956
342,3578533751847647
343,3544482637784908
344,372301965666169
345,3552531063524342
346,3555096806898301
347,6763967741372191
348,3538436195738886
349,3548471475535569
350,5893891668103980107
351,3536972425184071
352,3588277212829251
353,4405367470853504
354,3530124618197215
355,4913288803640522
356,3538788410356625
357,4175008682704600
358,3564019238934568
359,201805781715478
360,3532542738496209
361,3581605875003565
362,630402959528905610
363,67634532503593886
364,3552259743601112
365,56022535989655254
366,3572918431212906
367,3574309754876170
368,30141635390533
369,5610251139595540
370,3561783530197967
371,5100175745545556
372,676379296459904367
373,30308443872131
374,5602230640186809
375,3589107553319597
376,201426949514875
377,3572726648991901
378,5602256013473881318
379,491111437709354162
380,345563521466335
381,3544894152186683
382,3579870682491585
383,3545156182400404
384,3567468239273194
385,374283147418917
386,67717209061503710
387,4844919301650365
388,5038267920079266
389,5602218541578923657
390,4041593374119
391,67627445613641751
392,56022124147757383
